StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q9_1,Q9_2,Q9_3,Q10_1,Q10_2,Q10_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participation in this study?,Background,Background,Background,Individual Attitude - I like the idea of buying secondhand clothing items,Individual Attitude - Buying secondhand clothing items is a good idea,Individual Attitude - Buying secondhand clothing items is a wise choice,Individual Attitude - Buying secondhand clothing items is beneficial to the environment,Subjective Norm - Most people who are important to me think that I should buy secondhand clothing items,Subjective Norm - Most people who are important to me would want me to purchase secondhand clothing items,Subjective Norm - People whose opinion I value would prefer that I should buy secondhand clothing items,"Perceived Behavioural Control - If I wanted to, I could buy secondhand clothing items instead of fast fashion",Perceived Behavioural Control - I think it is easy for me to buy secondhand clothing items,Perceived Behavioural Control - It is mostly up to me whether or not to buy secondhand clothing items,Perceived Behavioural Control - I am able to buy secondhand clothing items,Perceived Value - The quality of secondhand clothing items is reliable,Perceived Value - Secondhand clothing items offer good value for me,Perceived Value - Secondhand clothing items make me feel good,"Perceived Effectiveness - When I purchase clothing, I try to consider how this will affect the environment",Perceived Effectiveness - It is worth individual consumers to purchase secondhand clothing for the positive impact on society and the environment,Perceived Effectiveness - It is worth individual consumers to do something about climate change,Behavioural Intention - I would like to purchase secondhand clothing items,Behavioural Intention - I would like to visit secondhand clothing shops or websites,Behavioural Intention - I would actively seek out secondhand clothing items in order to purchase them,Behaviour - I frequently purchase secondhand clothing items,Behaviour - I prefer secondhand clothing items to fast fashion items when the product quality is similar,Behaviour - I purchase secondhand clothing even if it is more expensive than fast fashion
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}"
27/07/2021 08:49,27/07/2021 08:56,0,82.132.226.3,100,459,1,27/07/2021 08:56,R_AtBP5GSIOUMiBAR,,,,,51.39970398,-0.251495361,anonymous,EN,1,2,3,1,5,5,5,5,5,5,5,3,2,4,3,2,3,4,4,5,5,5,5,4,1,3,4
28/07/2021 16:12,28/07/2021 16:17,0,90.249.92.26,100,282,1,28/07/2021 16:17,R_1jrJTf81u5oBGJL,,,,,53.80070496,-2.486801147,anonymous,EN,1,2,3,1,3,5,5,5,2,2,2,4,2,4,4,3,3,3,4,5,5,4,4,4,2,4,2
29/07/2021 04:18,29/07/2021 04:22,0,62.249.210.16,100,211,1,29/07/2021 04:22,R_12JXHdHkfYTNIxr,,,,,51.65179443,-0.19329834,anonymous,EN,1,1,3,1,3,4,3,4,2,2,3,3,5,5,5,2,4,3,2,3,4,2,3,2,2,3,1
29/07/2021 05:04,29/07/2021 05:07,0,171.33.195.73,100,133,1,29/07/2021 05:07,R_bgA05PaWcul3ET7,,,,,51.64489746,-0.042999268,anonymous,EN,1,2,1,1,5,5,5,5,2,3,4,5,3,5,4,2,4,5,5,5,5,5,5,4,4,5,4
29/07/2021 05:17,29/07/2021 05:21,0,165.120.84.125,100,257,1,29/07/2021 05:21,R_8CCsMHW724nwJUZ,,,,,55.03489685,-7.27180481,anonymous,EN,1,2,3,1,5,5,5,5,5,5,5,4,2,4,4,4,5,4,3,1,1,5,4,2,2,4,2
29/07/2021 05:29,29/07/2021 05:34,0,148.252.133.64,100,332,1,29/07/2021 05:34,R_0BCAzg1M95iFd7j,,,,,51.49639893,-0.122406006,anonymous,EN,1,2,3,1,3,4,4,4,2,2,2,3,4,5,4,4,5,3,4,4,5,3,3,2,1,4,3
29/07/2021 05:55,29/07/2021 06:00,0,92.237.25.167,100,333,1,29/07/2021 06:00,R_1Li1i9o5oMbYLzF,,,,,51.44299316,-0.329498291,anonymous,EN,1,2,3,1,4,4,4,4,1,1,1,5,5,5,5,5,5,3,4,4,5,1,1,1,1,1,1
29/07/2021 06:07,29/07/2021 06:23,0,90.195.213.249,100,935,1,29/07/2021 06:23,R_2af6lRlGdjB5Seo,,,,,51.477005,-0.195907593,anonymous,EN,1,2,4,1,5,5,5,5,5,5,5,4,5,5,5,4,5,5,3,5,4,5,5,5,5,5,5
